main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,ids,sp_type,user_specified_id,object_number_id
HD 164843,270.9839391933641,-18.534573876213614,0.0239,0.0198,90,O,2020yCat.1350....0G,HIP 88477|Gaia DR3 4143464218749696256|WISE J180356.14-183204.5|UCAC4 358-126454|Gaia DR2 4143464218749696256|** ARA  450A|HD 164843A|2MASS J18035614-1832044|YZ 108  7432|SAO 161034|PPM 233971|HIC  88477|HD 164843|GSC 06255-00991|BD-18  4773|TIC 104228627|CCDM J18039-1832A|IDS 17581-1832 A|TYC 6255-991-1|WDS J18039-1832A,G6/8(III),HIP 88477 ,44
HD 155932,259.07657413613,-39.61060398433,0.0234,0.0126,90,O,2020yCat.1350....0G,HIP 84485|Gaia DR3 5972237379029272448|TIC 463287663|CCDM J17163-3937A|CD-39 11253|CPC 18  8605|CPD-39  7308|GSC 07874-00450|HD 155932|HIC  84485|IRAS 17128-3933|PPM 296117|SAO 208608|SRS  14091|TYC 7874-450-1|2MASS J17161836-3936381|WDS J17163-3937A|Gaia DR2 5972237379029272448,K1(III),HIP 84485 ,45
HD 155347,257.74857847140254,3.0388565476972222,0.0194,0.016,90,O,2020yCat.1350....0G,HIP 84052|WISE J171059.64+030219.9|UCAC4 466-060727|Gaia DR3 4388116310495734528|Gaia DR2 4388116310495734528|WDS J17110+0302A|** HDS 2426A|HD 155347A|TIC 361706568|AG+03 2043|AGKR 15303|BD+03  3361|GSC 00403-01236|HD 155347|HIC  84052|PPM 163626|SAO 122151|SRS  14043|TYC  403-1236-1|YZ   3  5680|2MASS J17105966+0302200|Gaia DR1 4388116306198191360,K1/2(III),HIP 84052 ,46
HD 182025,291.03610882201,-34.54400734363,0.015,0.015,90,O,2020yCat.1350....0G,HIP 95374|Gaia DR3 6743000974283501568|TIC 112335179|CCDM J19241-3433A|CD-34 13642|CPD-34  8408|GSC 07432-01964|HD 182025|HIC  95374|PPM 298943|TYC 7432-1964-1|2MASS J19240866-3432383|WDS J19241-3433A|Gaia DR2 6743000974283501568,G8(III),HIP 95374 ,47
HD  65845,120.06967036637,-13.83922326925,0.0181,0.019,90,O,2020yCat.1350....0G,HIP 39130|Gaia DR3 5725673854955879296|TIC 331999775|BD-13  2338|GSC 05424-01565|HD  65845|HIC  39130|IRAS 07579-1342|PPM 219506|SAO 153692|SRS   8098|TYC 5424-1565-1|YZC 11  2985|2MASS J08001671-1350212|WDS J08003-1350AB|** HDS 1137|Gaia DR1 5725673850655835520|Gaia DR2 5725673854955879296,K3/4(III),HIP 39130 ,48
HD 143319,240.41028627749998,-44.15753302848,0.0473,0.0268,90,O,2020yCat.1350....0G,HIP 78508|Gaia DR3 5994339074553659392|TIC 255488614|CCDM J16016-4409A|CD-43 10460|CPC  0 14294|CPD-43  7415|GSC 07863-01180|HD 143319|HIC  78508|PPM 321285|SAO 226449|TYC 7863-1180-1|2MASS J16013846-4409270|WDS J16016-4409A|UCAC4 230-102583|PM J16016-4409|Gaia DR2 5994339074553659392,K2(III),HIP 78508 ,49
HD  14483,34.94569976275,-23.863456938650003,0.0138,0.0147,90,O,2020yCat.1350....0G,HIP 10860|Gaia DR3 5119976401269443072|TIC 257388185|2MASS J02194696-2351484|BDS  1220 A|CCDM J02198-2352A|CD-24  1021|CPD-24   269|GC  2806|GSC 06433-02552|HD  14483|HIC  10860|IDS 02152-2419 A|PPM 244887|SAO 167705|SRS   4356|TYC 6433-2552-1|YZ 114  1069|uvby98 100014483|WDS J02198-2352A|Gaia DR1 5119976396973671296|GEN# +1.00014483|IRAS 02175-2405|AKARI-IRC-V1 J0219469-235148|Gaia DR2 5119976401269443072,K5/M0(III),HIP 10860 ,50
HD  54542,107.20384834012,-8.67684446521,0.0215,0.0242,90,O,2020yCat.1350....0G,HIP 34486|Gaia DR3 3051306090352305792|TIC 177598839|2MASS J07084893-0840366|ADS  5826 A|BD-08  1761|CCDM J07088-0841A|CSI-08  1761  1|GC  9446|GEN# +1.00054542|HD  54542|HERZ 12533|HIC  34486|IDS 07040-0831 A|PPM 189960|SAO 134253|SRS   7527|UBV M  12913|YZ  98  2450|[C74] 136|uvby98 100054542|WDS J07088-0841A|TYC 5381-3003-1|Gaia DR1 3051306086050380544|Gaia DR2 3051306090352305792,G7III,HIP 34486 ,51
HD 163827,269.66821795971,-11.873758787949999,0.0251,0.0223,90,O,2020yCat.1350....0G,HIP 88016|Gaia DR3 4151398913124337024|TIC 9508722|BD-11  4498|GSC 05682-01356|HD 163827|HIC  88016|IRAS 17558-1152|PPM 233835|SAO 160956|SRS  14546|TYC 5682-1356-1|YZC 11  6118|2MASS J17584038-1152255|Gaia DR2 4151398913124337024,K3/4(III),HIP 88016 ,52
HD 138810,233.74830859152001,-17.138836095749998,0.2422,0.2009,90,O,2020yCat.1350....0G,HIP 76287|Gaia DR3 6261486177776550656|TIC 386932144|BD-16  4114|GSC 06188-00371|HD 138810|HIC  76287|IRAS 15321-1658|PPM 230437|SAO 159358|SKY# 28171|SRS  13025|TYC 6188-371-1|YZ 106  5709|2MASS J15345958-1708196|WDS J15350-1708AB|** HDS 2188|Gaia DR2 6261486177776550656,K1(III)(+G),HIP 76287 ,53
HD 138945,234.37930283499003,-51.61851965284,0.0129,0.0118,90,O,2020yCat.1350....0G,HIP 76507|Gaia DR3 5889184462573725696|TIC 300720418|CCDM J15375-5137A|CD-51  9301|CPC  0 13653|CPD-51  8285|GSC 08308-01352|HD 138945|HIC  76507|PPM 344003|SAO 242773|SRS   1856|TYC 8308-1352-1|2MASS J15373102-5137066|WDS J15375-5137A|Gaia DR1 5889184458207030400|Gaia DR2 5889184462573725696,K1(III),HIP 76507 ,54
HD  26693,63.234689061320005,-11.123074699289997,0.0172,0.0142,90,O,2020yCat.1350....0G,HIP 19678|Gaia DR3 3189659700054415872|TIC 67716432|2MASS J04125631-1107231|BD-11   829|GSC 05315-01561|HD  26693|HIC  19678|IRAS 04105-1114|PPM 214006|SAO 149459|SRS   5587|TYC 5315-1561-1|YZC 11  1004|WDS J04129-1107AB|** HDS  534|Gaia DR1 3189659695757396096|Gaia DR2 3189659700054415872,K5/M0(III),HIP 19678 ,55
BD-03  2061,116.68702373664885,-3.8875959852776556,22.913118,15.117785,90,O,2007A&A...474..653V,HIP 37952|TIC 68275710|BD-03  2061|GSC 04840-00391|HIC  37952|PPM 190632|SAO 135090|TD1 10974|YZ  93  2865|uvby98 100063023|2MASS J07464487-0353152|** HDS 1100|WDS J07467-0353AB|CCDM J07467-0353AB|GEN# +1.00063023,G8/K0(III)+B/A,HIP 37952 ,56
HD 157155,260.69239638380503,-27.676082348750004,16.089285,8.975418,90,O,2007A&A...474..653V,HIP 85033|WISE J172246.17-274033.6|** I 1002|TIC 84936642|ADS 10499 AB|CCDM J17228-2741AB|CD-27 11608|CPD-27  5631|HD 157155|HIC  85033|IDS 17165-2735 AB|2MASS J17224618-2740338|WDS J17228-2741AB|uvby98 100157155,K0/1(III)+(A),HIP 85033 ,57
HD 186106,295.69256921813707,-6.473762789979167,0.0202,0.0158,90,O,2020yCat.1350....0G,HIP 96980|WDS J19428-0628A|** HDS 2796A|WISE J194246.20-062825.4|UCAC4 418-136688|Gaia DR3 4208677215438595584|Gaia DR2 4208677215438595584|TIC 242894199|BD-06  5241|GSC 05157-00892|HD 186106|HIC  96980|PPM 203210|SAO 143719|SRS  15669|TYC 5157-892-1|YZ  96  6890|2MASS J19424622-0628254|IRAS 19400-0635|AKARI-IRC-V1 J1942462-062825,K2/3(III),HIP 96980 ,58
HD  52131,104.90460558482184,-8.389895926388888,10.195297,9.934966,90,O,2007A&A...474..653V,HIP 33665|TIC 124815104|2MASS J06593710-0823237|ADS  5665 AB|BD-08  1658|CCDM J06596-0823AB|GSC 05380-01785|HD  52131|HIC  33665|IDS 06548-0815 AB|PPM 189782|SAO 134008|SRS   7426|YZ  98  2321|WDS J06596-0823AB|** A 1062AB,K0(III),HIP 33665 ,59
HD 146832,244.68112422433998,-11.289483596210001,0.0264,0.0171,90,O,2020yCat.1350....0G,HIP 79915|Gaia DR3 4343829459597682432|TIC 135819690|BD-10  4291|GSC 05621-01031|HD 146832|HIC  79915|IRAS 16159-1110|PPM 231498|SAO 159843|SRS  13494|TYC 5621-1031-1|YZC 11  5650|2MASS J16184346-1117220|WDS J16187-1117AB|** HDS 2305|Gaia DR1 4343829455299779968|Gaia DR2 4343829459597682432,M2/3(III),HIP 79915 ,60
HD  48958,101.51324676571001,-1.6854011122100003,0.0231,0.027,90,O,2020yCat.1350....0G,HIP 32416|Gaia DR3 3106986871011066112|WISEA J064603.19-014107.7|TIC 168196861|2MASS J06460317-0141072|AG-01  804|BD-01  1369|GSC 04800-02574|HD  48958|HIC  32416|LF  9 -02   41|PPM 176421|SAO 133650|YZ  91  1817|WISE J064603.18-014107.7|IRAS 06435-0137|AKARI-IRC-V1 J0646031-014107|** BAL  339A|CCDM J06461-0141A|CSI-01  1369  1|IDS 06410-0135 A|TYC 4800-2574-1|WDS J06461-0141A|Gaia DR2 3106986871011066112|UCAC4 442-021276|CoRoT 102802756,K1(III),HIP 32416 ,61
HD 140528,236.19144406003187,-20.053530426338924,20.817211,18.316483,90,O,2007A&A...474..653V,HIP 77116|WISE J154445.92-200312.7|** B 2366|UCAC4 350-076728|TIC 287468730|BD-19  4205|CCDM J15448-2003AB|CPD-19  5897|GSC 06194-01480|HD 140528|HIC  77116|IDS 15390-1944 AB|PPM 264642|SAO 159475|YZ 109  6508|2MASS J15444596-2003126|WDS J15448-2003AB,K1(III),HIP 77116 ,62
HD 212902,336.89720657309834,0.6728426431808333,0.0179,0.019,90,O,2020yCat.1350....0G,HD 212902A|WDS J22276+0040A|** HDS 3181A|WISE J222735.31+004022.3|UCAC4 454-117954|Gaia DR3 2702255777531365760|Gaia DR2 2702255777531365760|TIC 265939253|AG+00 2817|BD-00  4361|GSC 00560-01236|HD 212902|HIC 110856|HIP 110856|PPM 173066|TYC  560-1236-1|2MASS J22273532+0040222,G8/K0(III),HIP 110856,63
V* LN CMa,104.30199690054,-30.493464180680004,0.0092,0.014,90,O,2020yCat.1350....0G,HIP 33443|Gaia DR3 5607471643384354688|RAVE J065712.5-302936|TIC 96514289|2MASS J06571247-3029364|CD-30  3722|CPC 17  3064|CPD-30  1469|GEN# +1.00051738|GSC 07089-01253|HD  51738|HIC  33443|PPM 283323|SAO 197396|SRS   7406|TYC 7089-1253-1|UBV    6874|UBV M  12654|V* LN CMa|YZ 120  3445|uvby98 100051738|RAVE J065712.5-302937|Gaia DR1 5607471643384354688|Gaia DR2 5607471643384354688,K1/2(III),HIP 33443 ,64
HD 140527,235.98229984234,2.46705748169,0.0179,0.0149,90,O,2020yCat.1350....0G,HIP 77043|Gaia DR3 4423865247444246016|TIC 459427050|ADS  9763 C|AG+02 1863|BD+02  2988|CCDM J15439+0230C|GSC 00355-00207|HD 140527|HIC  77043|IDS 15390+0250 C|PPM 161847|SAO 121151|TYC  355-207-1|YZ   2  5268|2MASS J15435576+0228014|WDS J15440+0231C|** A 2230C|Gaia DR1 4423865243148466176|Gaia DR2 4423865247444246016,K2/3(III),HIP 77043 ,65
HD 203383,320.44829454209,2.02733830478,0.0258,0.0245,90,O,2020yCat.1350....0G,Gaia DR3 2691447788684629376|TIC 422833342|ADS 14901 A|AG+01 2589|BD+01  4465|CCDM J21218+0202A|CSI+01  4465  1|GC 29894|GSC 00532-02289|HD 203383|HIC 105472|HIP 105472|IDS 21167+0136 A|PPM 171639|SAO 126730|SKY# 40687|TD1 27985|TYC  532-2289-1|YZ   0  3068|YZ   1  7479|WDS J21218+0202A|2MASS J21214758+0201383|Gaia DR1 2691447784389101184|Gaia DR2 2691447788684629376,A2(III),HIP 105472,66
HD  51457,104.14238802745,-22.644864627200004,0.0077,0.014,90,O,2020yCat.1350....0G,HIP 33380|Gaia DR3 2922754317571348480|TIC 79378278|BD-22  1609|BDS  3733 A|CCDM J06566-2239A|CD-22  3736|CPD-22  1583|GSC 06522-03268|HD  51457|HIC  33380|IDS 06523-2231 A|PPM 251286|SAO 172606|SKY# 12345|SRS   7394|TYC 6522-3268-1|YZ 112  4194|WDS J06566-2239A|2MASS J06563416-2238415|Gaia DR1 2922754313267687168|IRAS 06544-2234|AKARI-IRC-V1 J0656341-223841|Gaia DR2 2922754317571348480,K0/1(III),HIP 33380 ,67
HD 147737,245.88118817596,2.2146118177199994,0.0142,0.0098,90,O,2020yCat.1350....0G,HIP 80297|Gaia DR3 4432987380026882432|TIC 5789840|AG+02 1923|BD+02  3091|BDS  7604 A|CCDM J16235+0213A|CSI+02  3091  1|GC 22039|GSC 00373-01603|HD 147737|HIC  80297|IDS 16185+0227 A|PPM 162575|SAO 121562|TYC  373-1603-1|YZ   2  5437|2MASS J16233148+0212525|WDS J16235+0213A|Gaia DR1 4432987375727559552|Gaia DR2 4432987380026882432,G8/K1(III),HIP 80297 ,68
HD 183405,292.45347629288,-11.030326631039998,0.0198,0.0166,90,O,2020yCat.1350....0G,HIP 95862|Gaia DR3 4187918161031054848|TIC 100124912|BD-11  5015|GSC 05726-00352|HD 183405|HIC  95862|PPM 236065|SAO 162679|SRS  15538|TYC 5726-352-1|YZC 11  6813|2MASS J19294883-1101491|WDS J19298-1102AB|** HDS 2771|Gaia DR1 4187918156724966784|Gaia DR2 4187918161031054848,K2/3(III),HIP 95862 ,69
HD 203323,320.34873830945895,2.8873821841668255,16.787964,14.104046,90,O,2007A&A...474..653V,Gaia DR3 2692664325285370368|WISE J212123.68+025314.2|UCAC4 465-130742|GEN# +1.00203323|Gaia DR2 2692664329580518656|TIC 387537616|ADS 14894 AB|AG+02 2722|BD+02  4346|CCDM J21214+0253AB|CSV   8649|GC 29886|GSC 00532-00819|HD 203323|HIC 105438|HIP 105438|IDS 21163+0228 AB|IRAS 21188+0240|NSV 13668|PPM 171627|SAO 126724|YZ   2  7474|2MASS J21212367+0253144|WDS J21214+0253AB|** STT  435,G8/K1(III),HIP 105438,70
HD 312644,271.80398298545805,-18.905714771526902,132.15448,80.698006,90,O,2007A&A...474..653V,HIP 88762|HIP 88759|WISE J180712.96-185423.3|UCAC4 356-123670|TIC 184965038|BD-18  4794|CSI-18  4794  1|HIC  88762|LTT  7194|GSC 06259-02107|UCAC2  24659406|2MASS J18071295-1854210|ADS 11066 BC|CCDM J18072-1855BC|CSI-18  4794  2|HD 312644|HIC  88759|IDS 18013-1855 BC|SSTGLMC G011.1466+00.7854|WDS J18072-1854BC|DENIS J180712.9-185420|** STN   41BC|** A 2259,K0,HIP 88762 ,71
HD 186642,296.49048463683,-7.587190107660001,0.0197,0.014,90,O,2020yCat.1350....0G,HIP 97256|Gaia DR3 4196329734219076480|TIC 243022084|BD-07  5057|GSC 05724-00213|HD 186642|HIC  97256|IRAS 19432-0742|PPM 203273|SAO 143777|SRS  15703|TYC 5724-213-1|YZ  97  6921|2MASS J19455771-0735139|WDS J19460-0735AB|** HDS 2808|Gaia DR1 4196353197620693376|Gaia DR2 4196329734219076480,K2(III),HIP 97256 ,72
HD  64220,117.95185312870001,-26.8963643584,0.0099,0.0143,90,O,2020yCat.1350....0G,HIP 38386|Gaia DR3 5601939592378579968|TIC 128394387|CCDM J07518-2654A|CD-26  5107|CPD-26  2689|GSC 06561-03400|HD  64220|HIC  38386|IRAS 07497-2646|PPM 253344|SAO 174689|SRS   8010|TYC 6561-3400-1|YZ 116  5607|[A72c]   7|2MASS J07514844-2653470|WDS J07518-2654A|Gaia DR1 5601939588068373760|Gaia DR2 5601939592378579968,K2/3(III),HIP 38386 ,73
HD 204174,321.68371408018,3.58636425846,0.0176,0.0207,90,O,2020yCat.1350....0G,Gaia DR3 2692780190618959488|TIC 352621599|AG+03 2797|AGKR 19172|BD+02  4358|CCDM J21267+0335AB|GSC 00533-01520|HD 204174|HIC 105890|HIP 105890|IDS 21217+0309 AB|PPM 171752|SAO 126798|SRS  16778|TYC  533-1520-1|YZ   3  7503|2MASS J21264408+0335108|WDS J21267+0335AB|** VOU   41|** VOU   41AB|Gaia DR1 2692780186324054016|Gaia DR2 2692780190618959488,K2(III),HIP 105890,74
V* OZ Ser,233.78491583233003,0.7461882417,0.0266,0.0231,90,O,2020yCat.1350....0G,HIP 76296|Gaia DR3 4417534981045405568|TIC 446178664|AG+00 1863|AGKR 13909|BD+01  3098|DO  3777|GSC 00350-00620|HD 138920|HIC  76296|IRAS 15325+0054|PPM 161714|SAO 121073|SRS  13033|TYC  350-620-1|V* OZ Ser|YZ   0  5240|2MASS J15350837+0044462|WDS J15351+0045AB|** HDS 2189|Gaia DR1 4417534976749855744|Gaia DR2 4417534981045405568,M3(III),HIP 76296 ,75
BD-04  3827,227.93225958275,-5.474840091109999,0.015,0.0139,90,O,2020yCat.1350....0G,HIP 74353|Gaia DR3 6334789037447236096|TIC 38817437|BD-04  3827|BDS  7151 B|CCDM J15117-0529B|GSC 05009-01138|HD 134755B|HIC  74353|IDS 15065-0506 B|PPM 198330|SAO 140371|TYC 5009-1138-1|YZ  95  5317|2MASS J15114374-0528293|WDS J15117-0529B|** STF 1914B|RAVE J151143.7-052829|Gaia DR2 6334789037447236096|Gaia DR1 6334789033150917504,G0,HIP 74353 ,76
HD 150928,251.48013101253997,-39.87689733977,0.0182,0.0119,90,O,2020yCat.1350....0G,HIP 82077|Gaia DR3 5970669441094966528|TIC 78982940|CD-39 10653|CPC 18  8289|CPD-39  7063|GSC 07871-02224|HD 150928|HIC  82077|IRAS 16424-3947|PPM 295457|SAO 208004|SRS  13777|TYC 7871-2224-1|2MASS J16455524-3952369|Gaia DR1 5970669436740845056|Gaia DR2 5970669441094966528,K4/5(III),HIP 82077 ,77
BD-18  5070,281.9933813700163,-18.228690936556667,0.7972,0.7412,90,O,2018yCat.1345....0G,HIP 92245|WISEA J184758.40-181343.4|RAVE J184758.4-181343|GSC 06284-00876|WISE J184758.41-181343.1|UCAC4 359-168872|Gaia DR2 4098474741231257344|** RST 3198|TIC 31243829|BD-18  5070|CCDM J18480-1814AB|HIC  92245|IDS 18421-1820 AB|PPM 235036|SAO 161834|IRAS 18450-1817|AKARI-IRC-V1 J1847584-181343|TD1 23178|YZ 108  7900|WDS J18480-1814AB|2MASS J18475842-1813431,K0(III),HIP 92245 ,78
HD 215415,341.2685014079175,-2.656640661873056,0.056,0.0404,90,O,2020yCat.1350....0G,Gaia DR3 2649536913693752960|RAVE J224504.5-023924|WISEA J224504.46-023924.6|TIC 250350655|WDS J22451-0240BC|ADS 16235 BC|CCDM J22451-0240BC|CSI-03  5501  2|CSV 102203|GC 31742|GSC 05237-01613|HD 215415|HIC 112325|HIP 112325|NSV 14303|PPM 206730|SAO 146293|SV* ZI  2108|UBV   19480|YZ  92  7885|2MASS J22450445-0239237|Gaia DR2 2649536913693752960|** A 2696|** STF 2938BC|UCAC4 437-116841|WISE J224504.46-023924.5,G6/8(III),HIP 112325,79
HD 136447,230.47018843929996,-34.74185806507,0.02,0.0161,90,O,2020yCat.1350....0G,HIP 75186|Gaia DR3 6206083569258028416|TIC 89022970|CD-34 10333|CPC 17  7948|CPD-34  6352|GSC 07321-00526|HD 136447|HIC  75186|IRAS 15187-3433|PPM 293752|SAO 206554|SRS  12886|TYC 7321-526-1|2MASS J15215285-3444306|Gaia DR2 6206083569258028416,K2/3(III),HIP 75186 ,80
HD 152520,253.7846595563288,-31.222709717031396,0.0216,0.0121,90,O,2020yCat.1350....0G,HIP 82791|WISE J165508.32-311321.6|UCAC4 294-104542|Gaia DR3 6027756497113632000|Gaia DR2 6027756497113632000|IDS 16487-3104 A|HD 152520A|** I  577A|WDS J16551-3113A|CCDM J16551-3113A|GEN# +1.00152520|TIC 34771145|CD-31 13349|CPC 17  8862|CPD-31  4510|GSC 07359-01321|HD 152520|HIC  82791|PPM 295653|SAO 208186|TYC 7359-1321-1|UBV M  21771|2MASS J16550831-3113217|uvby98 100152520,G6(III),HIP 82791 ,81
HD 107104,184.75762537880996,-22.88835488566,0.02,0.0173,90,O,2020yCat.1350....0G,HIP 60064|Gaia DR3 3513220614620936704|TIC 415807621|BD-22  3337|CCDM J12190-2253A|CD-22  9373|CPD-22  5287|GC 16793|GSC 06681-00017|HD 107104|HIC  60064|IRAS 12164-2236|PPM 260152|SAO 180676|SRS  10916|TYC 6681-17-1|YZ 112  9309|2MASS J12190183-2253180|WDS J12190-2253A|Gaia DR2 3513220614620936704,M1(III),HIP 60064 ,82
HD 194844,307.00038705406,-0.15136433227,0.0217,0.0141,90,O,2020yCat.1350....0G,Gaia DR3 4229797562491037440|TIC 212684407|AG-00 2640|AGKR 18294|BD-00  4010|BDS 10227 A|CCDM J20280-0009A|CSI-00  4010  1|DO  6748|GSC 05163-00491|HD 194844|HIC 100943|HIP 100943|IDS 20229-0029 A|PPM 180996|SAO 144459|SRS  16159|TYC 5163-491-1|YZ  90  5173|2MASS J20280008-0009047|WDS J20280-0009A|Gaia DR1 4229797558194546048|Gaia DR2 4229797562491037440,K2/3(III),HIP 100943,83
HD 152149,253.49031964917998,-46.917011202960005,0.0234,0.0159,90,O,2020yCat.1350....0G,HIP 82666|Gaia DR3 5939896412681023872|TIC 247076297|CCDM J16539-4655A|CD-46 11090|CEL   4438|CPC  0 15459|CPD-46  8281|GEN# +1.00152149|GSC 08331-01851|HD 152149|HIC  82666|IDS 16466-4645 A|PPM 322340|SAO 227362|SKY# 30422|TD1 19628|TYC 8331-1851-1|UBV M  21726|uvby98 100152149|2MASS J16535767-4655012|WDS J16540-4655A|** HJ 4890A|Gaia DR1 5939896408378182912|Gaia DR2 5939896412681023872,B2/5(III),HIP 82666 ,84
HD 150847,251.22086684930997,-30.395112499590006,0.0203,0.0094,90,O,2020yCat.1350....0G,HIP 81985|Gaia DR3 6031174947465116800|TIC 96342211|CCDM J16449-3024AB|CD-30 13429|CPC 17  8755|CPD-30  4455|GSC 07346-00165|HD 150847|HIC  81985|IDS 16385-3013 AB|IRAS 16416-3018|PPM 295436|SAO 207987|SRS  13768|TYC 7346-165-1|YZ 120 10484|2MASS J16445301-3023422|WDS J16449-3024AB|** B  315AB|Gaia DR2 6031174947465116800,K3/4(III),HIP 81985 ,85
HD 132744,225.47085424218,-38.31729914717,0.0209,0.0168,90,O,2020yCat.1350....0G,HIP 73545|Gaia DR3 6197925678317145600|** B 2345A|TIC 121416289|CCDM J15019-3819A|CD-37  9876|CPC 18  7349|CPD-37  6352|CSI-37  9876 21|GSC 07821-00821|HD 132744|HIC  73545|IDS 14555-3755 A|PPM 293369|SAO 206220|TYC 7821-821-1|2MASS J15015300-3819021|WDS J15019-3819A|Gaia DR2 6197925678317145600,K1(III),HIP 73545 ,86
HD 158826,262.93730688296,-9.980778873830001,0.0181,0.0137,90,O,2020yCat.1350....0G,HIP 85784|Gaia DR3 4166505996712416512|TIC 3270348|BD-09  4564|GSC 05663-00656|HD 158826|HIC  85784|IRAS 17289-0956|PPM 200761|SAO 141718|TYC 5663-656-1|YZ   0  4760|YZ  99  5933|2MASS J17314495-0958509|Gaia DR2 4166505996712416512,K2/3(III),HIP 85784 ,87
HD 106337,183.52892311846998,-36.5564525063,0.0459,0.0277,90,O,2020yCat.1350....0G,HIP 59662|Gaia DR3 3461295800044836480|TIC 134815522|CCDM J12141-3633A|CD-35  7804|CPC 18  5768|CPD-35  5218|CSI-35  7804 21|GEN# +1.00106337|GSC 07244-01518|HD 106337|HIC  59662|IDS 12089-3600 A|PPM 289908|SAO 203262|SKY# 22950|TD1 16146|TYC 7244-1518-1|UBV M  17920|2MASS J12140693-3633232|WDS J12141-3633A|Gaia DR2 3461295800043661056,B7(III),HIP 59662 ,88
